candidate_id,benchmark,project_split,project_sample_uid,benchmark_sample_uid,match_types,minimum_phash_distance,review_status,reviewer,review_note
overlap_a98f42da63b390d26340,vstar,train,vopd_054aed2864f40ce92534a778,vstar:source_id:113,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999324; rgb_mae_256=0.241. The images are visually equivalent re-encodings.
overlap_90ae5896b99c14a5221c,vstar,train,vopd_08650c6918de7960c093e962,vstar:source_id:161,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999915; rgb_mae_256=0.119. The images are visually equivalent re-encodings.
overlap_db4e995802162b96c6c1,vstar,train,vopd_0a8396bb055ce32aef9e2385,vstar:source_id:71,suspected_perceptual_match,2,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=2; pixel_correlation_256=0.997017; rgb_mae_256=0.273. The images are visually equivalent re-encodings.
overlap_3ef1d0c071cde906e834,vstar,train,vopd_1d0a3c9b694ffa8a8ac4342e,vstar:source_id:149,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999880; rgb_mae_256=0.095. The images are visually equivalent re-encodings.
overlap_e53987a1f0524c46886a,vstar,train,vopd_2fd39bfd3b2100bc67564085,vstar:source_id:24,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.996790; rgb_mae_256=0.438. The images are visually equivalent re-encodings.
overlap_bec6208038fc0a4754c1,vstar,train,vopd_32babc0b2fda8dade142d25e,vstar:source_id:8,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999976; rgb_mae_256=0.019. The images are visually equivalent re-encodings.
overlap_e4a7867af994c84ca80a,vstar,train,vopd_370fd05975c5e2da746d91d5,vstar:source_id:83,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999958; rgb_mae_256=0.069. The images are visually equivalent re-encodings.
overlap_5b746826dbb8aacdcc15,vstar,train,vopd_53d3acfebd233bd0f39812a5,vstar:source_id:167,suspected_perceptual_match,2,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=2; pixel_correlation_256=0.999621; rgb_mae_256=0.055. The images are visually equivalent re-encodings.
overlap_83a7173b93a349076b90,vstar,train,vopd_5a74fb7570815fb11cf10389,vstar:source_id:129,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.998022; rgb_mae_256=0.497. The images are visually equivalent re-encodings.
overlap_99e6b6e050ca2bf94216,vstar,train,vopd_725d6760b9e91fd78ee77e58,vstar:source_id:59,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999600; rgb_mae_256=0.041. The images are visually equivalent re-encodings.
overlap_1cf2d522ffb443692880,vstar,train,vopd_7ae0fa0fbe521356d3b69b4b,vstar:source_id:54,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999909; rgb_mae_256=0.070. The images are visually equivalent re-encodings.
overlap_cbfd5060ed38d526feef,vstar,train,vopd_83ec924de4e74940557f31e5,vstar:source_id:101,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.996313; rgb_mae_256=0.296. The images are visually equivalent re-encodings.
overlap_bf4b9e6c0ae6aa956a96,vstar,train,vopd_957fb03b18444929ae193786,vstar:source_id:131,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999921; rgb_mae_256=0.017. The images are visually equivalent re-encodings.
overlap_57673f6b9380bc3f8d12,vstar,train,vopd_9fbd01ddcb0d3760e7849c9d,vstar:source_id:114,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999855; rgb_mae_256=0.092. The images are visually equivalent re-encodings.
overlap_fe13c86e37f251cc8534,vstar,train,vopd_b102869d6af5f78e66260f62,vstar:source_id:170,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999729; rgb_mae_256=0.046. The images are visually equivalent re-encodings.
overlap_7742d16740c91964512b,vstar,train,vopd_b973d99df36038fab8ee7a8f,vstar:source_id:68,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999808; rgb_mae_256=0.127. The images are visually equivalent re-encodings.
overlap_33a79d98a981e9e01d92,vstar,train,vopd_e99e7cf6b568a173cabe602b,vstar:source_id:180,suspected_perceptual_match,0,confirmed_overlap,codex_assisted_pixel_equivalence_review,Evidence review: same_dimensions=True; pHash_distance=0; pixel_correlation_256=0.999522; rgb_mae_256=0.364. The images are visually equivalent re-encodings.
