step,decoded_input_sha256,baseline_line,deferred_line,output_text_equal,baseline_output_chars,deferred_output_chars
1,5c87d8a057868d64514ff44f83ae53e726dae2f3ecb4252ad3df1e0e98fa2c1a,1,1,False,1105,1273
1,88f4bd3c6b2a8c528d94bf6e988cbb25ae85ae951fb11e4ac077b63f0b763981,2,2,False,563,976
1,98d6f6b6387bfbb3688c8bd52dcc8f4cf445e76a836521295f5033b96a19bc03,3,3,False,683,619
1,e4c44ec953b96554e0044c7b5bb58716ad990ac3cf514741b7cae24451026945,4,4,False,597,362
1,13ac2d10df7a50e2c3fbb0b3fd180a6037dea542593d4021e57d5a389d642d2c,5,5,True,512,512
1,ac93c2e5fb68e3edbe9bf61acb70d3323b2c0a73de5f936d8a69ac7659934d3e,6,6,False,322,492
1,5b64a08bc31402d04adae9c8ff918a3504f8e9a64e36b8e3ed244a18f940b575,7,7,True,8,8
1,b5cdeca86d212725692ecc95a8e7ed55832a7195a76070d4457028df0ce9f037,8,8,False,287,8
2,91475d29a6046fc2dc32659378e00c9d9c53bc4ea9847a020dd673a6b09eb646,1,1,False,448,529
2,2c3f71ee6f9025622ff07e5f1f8dfe47ad805361008cdcfac5801376dd18431c,2,2,True,8,8
2,588f592a5b5014c3c7e88a1aceaf5f037140f8c30e16e0f787532aef7689c367,3,3,True,9,9
2,de3dcb49575ce743e13d254fb9f66e440c5a05c5d898fd9aeb23c7adf21d79ca,4,4,False,621,655
2,8e7a1f275535193f7b97d289ee55c92a83cf59266bcfaf1a1a6fc1da8101ad39,5,5,False,6,295
2,e9daef41d218f4834d24c710ccaa5df894616a2ca3bf98c93f1b70839a60368e,6,6,False,399,712
2,5571e6946737956b845c7d121b525c7c7b9c5aed1eba98bf42015e000986d4f0,7,7,False,646,370
2,f42b50ea2783c57b8fd72e1d2b326422f66f38d04d6d8957a8e7765a0e0a5b7b,8,8,False,325,326
3,aa6c2ae9d2301d6f08827888e404619339a58981365eb43fdb706042bd97936a,1,1,False,489,9
